chunking,embedding,recall_mean,recall_std,mrr_mean,mrr_std,ndcg_mean,ndcg_std
sentence,openai-small,0.9031196965159229,0.21544118998687836,0.9609014675052411,0.1467772337046147,0.9031552805047457,0.19447124407817348
sentence,openai-large,0.9284865728261954,0.18141377729824626,0.9627882599580714,0.13863655660083796,0.9219616271941132,0.16382229799697248
recursive,openai-small,0.8152116402116403,0.26586440772888126,0.939203354297694,0.18124179369152119,0.8260036394305237,0.23340613346724434
recursive,openai-large,0.8354353961901132,0.2507078587816062,0.949685534591195,0.16103864377666496,0.8448956468596829,0.21254754520206334
token,openai-small,0.8138564440451233,0.2605708314731324,0.950733752620545,0.1711459875588333,0.8292232754224648,0.22334663196073237
token,openai-large,0.8670311379745341,0.22179319926675228,0.9696016771488469,0.1255863125900599,0.8707880479849389,0.17936283213976367
