chunking,embedding,recall_mean,recall_std,mrr_mean,mrr_std,ndcg_mean,ndcg_std
sentence,openai-small,0.9028701207946491,0.21638544410014712,0.9554507337526205,0.15540538222566264,0.9051546348731313,0.20373138758456488
sentence,openai-large,0.9321553359289209,0.1735772243479795,0.9632075471698114,0.13447657908508287,0.9217106772467564,0.157408457443833
recursive,openai-small,0.8154212838175102,0.26887049801988583,0.9482180293501049,0.16635615795733388,0.8298749592155912,0.23092295482421035
recursive,openai-large,0.8338735513263815,0.2527028722327361,0.9530398322851152,0.15778948733465467,0.8446453502284436,0.21304054797788197
token,openai-small,0.8184686033742637,0.2601003453286428,0.9564989517819708,0.15823516776672283,0.8353532108236617,0.22113949114803513
token,openai-large,0.861883434524944,0.22198098018187204,0.971174004192872,0.12751941379722168,0.8720465018545469,0.1844902185116768
