Source,SS,ddof1,ddof2,MS,F,p_unc,p_GG_corr,ng2,eps
chunking,1.021895237853469,2,316,0.5109476189267345,25.64618604124324,4.771747207161116e-11,1.2557022967017255e-09,0.025423055985060644,0.8371363809747414
embedding,0.12260709711007095,1,158,0.12260709711007095,4.1932417747502955,0.04224112542397823,0.04224112542397823,0.0031200654918263665,1.0
chunking * embedding,0.023566738305881796,2,316,0.011783369152940898,3.7612432509211966,0.024302587265251082,0.02509854975979408,0.0006012340023221831,0.9801002122520364
